ListingID,SellerCity,SellerState,SellerZip,SellerListSrc,SellerRating,VehBodystyle,VehCertified,VehColorExt,VehColorInt,VehDriveTrain,VehEngine,VehFuel,VehHistory,VehListdays,VehMake,VehMileage,VehModel,VehPriceLabel,VehType,VehTransmission,VehYear,Vehicle_Trim,Dealer_Listing_Price
3287,Warren,MI,48091,Inventory Command Center,5,SUV,FALSE,White,Black,4X4,3.6L V6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",8.600069444,Jeep,39319,Grand Cherokee,Fair Price,Used,Automatic 8-Speed,2015,High Altitude,30990
3920,Fargo,ND,58103,Cadillac Certified Program,4.8,SUV,TRUE,Black,,,,Gasoline,"1 Owner, Buyback Protection Eligible",2.920127315,Cadillac,30352,XT5,Good Deal,Used,,2017,,34860
4777,Waukesha,WI,53186,Jeep Certified Program,4.8,SUV,TRUE,Brilliant Black Crystal Pearlcoat,Black,4x4/4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Buyback Protection Eligible",28.10701389,Jeep,38957,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Laredo,23249
6242,Wentzville,MO,63385,Inventory Command Center,4.4,SUV,FALSE,Diamond Black Crystal Pearlcoat,Black,4WD,3.6L V6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",59.816875,Jeep,20404,Grand Cherokee,Good Deal,Used,Automatic,2018,Limited,31977
7108,Fayetteville,AR,72703,HomeNet Automotive,3.7,SUV,FALSE,Radiant Silver Metallic,Cirrus,FWD,Gas V6 3.6L/222.6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",98.66530093,Cadillac,19788,XT5,Good Deal,Used,8-Speed Automatic,2018,Luxury,33495
10882,Olean,NY,14760,Digital Motorworks (DMi),3,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",30.9675,Jeep,34649,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2018,Limited,27900
12013,Ottawa,IL,61350,Digital Motorworks (DMi),3.5,SUV,FALSE,True Blue Pearlcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Non-Personal Use Reported, Buyback Protection Eligible",194.482338,Jeep,48814,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Laredo,22989
12334,Elmhurst,IL,60126,Digital Motorworks (DMi),4.6,SUV,FALSE,Red,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",28.84953704,Jeep,29095,Grand Cherokee,Great Deal,Used,8-Speed Automatic,2018,Limited,28793
12460,Lexington Park,MD,20653,Jeep Certified Program,3.7,SUV,TRUE,True Blue,,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",74.20424769,Jeep,26395,Grand Cherokee,Great Deal,Used,8-Speed Automatic w/OD,2018,Limited 4x4,30493
13173,Louisville,KY,40218,Digital Motorworks (DMi),4.8,SUV,FALSE,Bright White Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",6.731481481,Jeep,17692,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2018,Limited,36500
